{GREEN, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLUE, BLANK}
{BLANK, PINK, BLANK, BLANK, BLANK}
{LIGHTBLUE, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, YELLOW}
{BLANK, BLANK, WHITE, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, LIGHTBLUE, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLUE, WHITE, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, PINK}
{YELLOW, BLANK, BLANK, GREEN, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, PINK, BLANK, BLANK, BLANK}
{GREEN, BLANK, YELLOW, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, WHITE}
{BLANK, BLANK, BLANK, LIGHTBLUE, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLUE}
{PINK, BLANK, BLUE, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, GREEN}
{BLANK, BLANK, BLANK, WHITE, BLANK}
{BLANK, YELLOW, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, LIGHTBLUE, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, YELLOW}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{LIGHTBLUE, BLANK, BLUE, BLANK, BLANK}
{BLANK, BLANK, BLANK, PINK, BLANK}
{BLANK, WHITE, GREEN, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLUE, BLANK, BLANK, YELLOW, BLANK}
{BLANK, BLANK, PINK, BLANK, BLANK}
{BLANK, GREEN, BLANK, BLANK, LIGHTBLUE}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{WHITE, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, WHITE, BLANK, BLANK}
{BLANK, PINK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLUE, BLANK, BLANK}
{BLANK, BLANK, BLANK, LIGHTBLUE, BLANK}
{BLANK, BLANK, BLANK, BLANK, YELLOW}
{GREEN, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, PINK, BLANK, BLANK}
{BLANK, WHITE, BLANK, BLANK, BLANK}
{YELLOW, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLUE, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, GREEN}
{BLANK, BLANK, BLANK, LIGHTBLUE, BLANK}
{BLANK, BLANK, YELLOW, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, GREEN, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, WHITE}
{BLANK, LIGHTBLUE, BLANK, BLANK, PINK}
{BLUE, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, BLANK, LIGHTBLUE}
{BLANK, YELLOW, BLANK, BLANK, BLANK}
{WHITE, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, GREEN, BLANK}
{BLANK, BLUE, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, PINK, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLUE}
{BLANK, GREEN, BLANK, BLANK, BLANK}
{BLANK, BLANK, LIGHTBLUE, BLANK, BLANK}
{PINK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, WHITE, BLANK}
{BLANK, BLANK, BLANK, YELLOW, BLANK}
{BLANK, BLANK, LIGHTBLUE, BLANK, GREEN}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, BLANK, BLANK, WHITE, BLANK}
{BLANK, BLANK, BLANK, BLANK, BLANK}
{BLANK, YELLOW, BLANK, BLUE, BLANK}
{PINK, BLANK, BLANK, BLANK, BLANK}
